,index,상품명,수익률,위험도,상품유형
0,0,제룡산업,1.893939393939394,23.800642127974513,배당금
1,1,삼진,1.8957345971563981,19.971135843354354,배당금
2,2,KG모빌리언스,2.2598870056497176,47.15938166895081,배당금
3,3,남화산업,0.41841004184100417,40.9081300537039,배당금
4,4,만도,1.4157014157014158,49.2361468216007,배당금
5,5,칩스앤미디어,1.2614107883817427,91.42654627806894,배당금
6,6,대한화섬,0.4664391353811149,18.434555356750664,배당금
7,7,동국산업,3.430079155672823,54.9638231890701,배당금
8,8,현대엘리베이터,2.2332506203473943,25.118549670352184,배당금
9,9,휴네시온,0.625,35.69694013572505,배당금
10,10,화일약품,1.141552511415525,49.817380855925535,배당금
11,11,덕성,0.2079002079002079,120.97230085879649,배당금
12,12,한국주철관공업,2.4096385542168677,19.01163230896169,배당금
13,13,하이즈항공,1.1296296296296295,90.78159740617367,배당금
14,14,세운메디칼,1.1013215859030838,64.05708634739756,배당금
15,15,동부건설,5.737704918032787,20.64144589914037,배당금
16,16,서린바이오,0.7662835249042145,60.18864409956182,배당금
17,17,한국콜마홀딩스,0.7471264367816092,35.8958924713933,배당금
18,18,한국콜마,0.7028753993610224,27.24587330448936,배당금
19,19,강남제비스코,2.840909090909091,16.04773270118657,배당금
20,20,코위버,2.0242914979757085,26.64455592314856,배당금
21,21,하나마이크론,0.6313131313131313,47.95360434747798,배당금
22,22,SK증권,1.3477088948787064,21.341573621986555,배당금
23,23,시큐브,0.6622516556291391,39.22791958977821,배당금
24,24,알서포트,0.1702127659574468,75.84010249649191,배당금
25,25,에너토크,1.1074197120708749,46.61889328435161,배당금
26,26,한국카본,1.1320754716981132,53.81830383793129,배당금
27,27,팜스빌,1.8518518518518516,37.02299344459217,배당금
28,28,하이골드12호,26.129032258064516,16.711083074255118,배당금
29,29,하이골드3호,4.194756554307117,12.200088752386174,배당금
30,30,SK네트웍스,2.466598150051387,21.63804229479095,배당금
31,31,DRB동일,1.5037593984962405,40.01089287810718,배당금
32,32,어보브반도체,1.9900497512437811,37.980580790957134,배당금
33,33,광진윈텍,3.4013605442176873,35.40995785248221,배당금
34,34,세명전기,2.0408163265306123,22.875787261924614,배당금
