idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
314,서울바이오시스,500,500,500,1454,3601,13039,5150,5857,8582,주당 현금배당금(원)(1)당기,-50,38,39,114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,에이디테크놀로지,500,500,500,8004,8463,NULL,8757,8441,170,주당 현금배당금(원)보통주(1)당기,100,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,야스,500,500,500,16318,36027,16241,16318,36027,16241,주당 현금배당금(원)보통주(1)당기,-549,150,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,네오위즈홀딩스,500,500,500,20769,19747,-5145,5768,-4970,-10240,주당 현금배당금(원)보통주(1)당기,123,123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,대신정보통신,500,500,500,1563,851,1654,1563,851,1654,주당 현금배당금(원)보통주(1)당기,4,10,10,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,한국토지신탁,1000,1000,1000,108270,166981,167808,90737,133467,126679,주당 현금배당금(원)보통주(1)당기,76,80,140,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,영원무역,500,500,500,166285,113059,108688,66802,41813,46014,주당 현금배당금(원)보통주(1)당기,499,400,350,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,동국제약,2500,2500,2500,59050,49433,40868,51306,41338,37744,주당 현금배당금(원)보통주(1)당기,1033,800,520,520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
322,삼현철강,500,500,500,6548,7232,6280,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,150,150,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,KG이니시스,500,500,500,60026,39875,3026,40602,31437,-38306,주당 현금배당금(원)보통주(1)당기,413,330,300,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,티피씨글로벌,500,500,500,-2856,2270,1511,618,504,1762,주당 현금배당금(원)보통주(1)당기,20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,동아엘텍,500,500,500,11849,16998,11557,10537,14032,18797,주당 현금배당금(원)보통주(1)당기,0,NULL,150,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,동국S&C,500,500,500,8954,-11446,6172,10655,-5862,8994,주당 현금배당금(원)(1)당기,93,100,80,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,롯데푸드,5000,5000,5000,NULL,NULL,NULL,37523,42540,95072,주당 현금배당금(원)보통주(1)당기,1333,12000,15000,22000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,로지시스,500,500,500,NULL,NULL,NULL,-995,742,665,주당 현금배당금(원)보통주(1)당기,50,60,100,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,크라운제과,200,200,200,18938,13681,13667,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,250,250,250,250,주당 현금배당금(원)종류주(1)당기,252,252,252,252,NULL,NULL,NULL,NULL,NULL
330,DB하이텍,5000,5000,5000,104637,86829,110175,121160,95087,74402,주당 현금배당금(원)보통주(1)당기,433,350,250,250,주당 현금배당금(원)제1우선주(1)당기,483,400,300,300,주당 현금배당금(원)제2우선주(*)(1)당기,-4483,450,700,4750
331,동방아그로,500,500,500,6467,6133,5920,6386,6095,5936,주당 현금배당금(원)보통주(1)당기,250,250,250,250,주당 현금배당금(원)우선주(1)당기,255,255,255,255,NULL,NULL,NULL,NULL,NULL
332,오션브릿지,500,500,500,11383,14077,8989,8910,11784,9037,주당 현금배당금(원)보통주(1)당기,10,270,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,한국아트라스비엑스,1000,1000,1000,53124,49973,42526,51273,50694,43221,주당 현금배당금(원)보통주(1)당기,400,400,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,명문제약,500,500,500,-20832,327,8131,-20402,988,7623,주당 현금배당금(원)(1)당기,100,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,케이사인,100,100,100,3646,-774,-4931,2289,-49,-3749,주당 현금배당금(원)보통주(1)당기,10,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,한성기업,5000,5000,5000,-17371,NULL,NULL,-17371,-2633,2593,주당 현금배당금(원)(1)당기,150,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,카카오,500,500,500,-301003,47886,108597,-259706,90230,217554,주당 현금배당금(원)보통주(1)당기,102,127,127,148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,신세계인터내셔날,5000,5000,5000,73978,57490,24067,61140,38023,22598,주당 현금배당금(원)(1)당기,1599,1100,850,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,S&T모티브,5000,5000,5000,2421,56267,56853,61690,53099,47656,주당 현금배당금(원)보통주(1)당기,1799,1400,1200,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,SBI핀테크솔루션즈,NULL,NULL,NULL,9445,7999,3885,-126,3963,2833,주당 현금배당금(원)보통주(1)당기,267,185,137,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,빅솔론,500,500,500,9564,14458,20622,9354,14275,20298,주당 현금배당금(원)보통주(1)당기,58,190,180,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,다날,500,500,500,22794,-2918,9726,30391,11440,11964,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,브리지텍,500,500,500,NULL,NULL,NULL,-3174,2065,-3637,주당 현금배당금(원)보통주(1)당기,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344,엘브이엠씨,289,280,268,-55600,-49484,13581,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,120,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,국순당,500,500,500,-8270,-2977,9931,572,15171,9847,주당 현금배당금(원)보통주(1)당기,71,100,260,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
346,티비씨,500,500,500,5568,3383,3067,5475,3361,3104,주당 현금배당금(원)보통주(1)당기,21,16,10,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,코스메카코리아,500,500,500,4034,9164,9934,7344,10582,7728,주당 현금배당금(원)보통주(1)당기,4199,NULL,1200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,유니온머티리얼,500,500,500,2326,-8795,-813,3481,-7544,-604,주당 현금배당금(원)보통주(1)당기,45,50,35,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,동성화학,1000,1000,1000,13295,5835,5201,11410,5846,3060,주당 현금배당금(원)(1)당기,916,600,500,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
350,화성산업,5000,5000,5000,NULL,NULL,NULL,7673,49227,44646,주당 현금배당금(원)보통주(1)당기,188,500,930,890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
351,영화테크,500,500,500,-1483,3899,5802,-1215,3947,5395,주당 현금배당금(원)보통주(1)당기,8,50,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,광진실업,500,500,500,NULL,NULL,NULL,-979,267,542,주당 현금배당금(원)보통주(1)당기,25,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,세진중공업,500,500,500,2367,1768,1867,626,687,1770,주당 현금배당금(원)보통주(1)당기,8,20,20,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,대주산업,500,500,500,1807,1681,2691,1807,1681,2857,주당 현금배당금(원)보통주(1)당기,30,30,30,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,SK이노베이션,5000,5000,5000,65775,1699047,2136857,792140,1675000,1600005,주당 현금배당금(원)보통주(1)당기,-1166,3000,8000,8000,주당 현금배당금(원)우선주(1)당기,-1116,3050,8050,8050,NULL,NULL,NULL,NULL,NULL
356,체리부로,500,500,500,-19583,-8803,20155,-19617,-8748,20596,주당 현금배당금(원)보통주(1)당기,-99,NULL,50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,아모레퍼시픽그룹,500,500,500,133733,142286,202614,118328,49452,74005,주당 현금배당금(원)보통주(1)당기,233,300,310,360,주당 현금배당금(원)1우선주(1)당기,238,305,315,365,주당 현금배당금(원)3우선주(1)당기,834,834,NULL,NULL
358,SG,100,100,100,9607,9619,12034,8521,9575,8769,주당 현금배당금(원)(1)당기,89,NULL,60,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,동일금속,500,500,500,15693,9466,3805,11321,10268,4132,주당 현금배당금(원)보통주(1)당기,426,280,230,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,세아제강지주,5000,5000,5000,-3072,316448,25491,2874,135650,18434,주당 현금배당금(원)보통주(1)당기,1250,1500,1800,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,강원랜드,500,500,500,334654,297237,437541,335610,297320,437096,주당 현금배당금(원)보통주식(1)당기,795,900,900,990,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
362,한솔제지,5000,5000,5000,40024,40819,41967,28557,39099,48751,주당 현금배당금(원)보통주(1)당기,600,600,600,600,주당 현금배당금(원)우선주(1)당기,650,650,650,650,NULL,NULL,NULL,NULL,NULL
363,사람인에이치알,500,500,500,25461,16669,3410,23877,15654,1987,주당 현금배당금(원)보통주(1)당기,1123,580,390,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,파라다이스,500,500,500,15105,-21048,-18953,21383,8079,7303,주당 현금배당금(원)보통주(1)당기,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
365,위니아딤채,500,500,500,11060,-13352,4018,4135,-17964,3795,주당 현금배당금(원)보통주(1)당기,50,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
366,이지케어텍,500,500,500,3828,3606,3678,3901,3540,3678,주당 현금배당금(원)보통주(1)당기,90,86,85,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
367,화승엔터프라이즈,NULL,500,500,NULL,17177,41456,NULL,3042,471,주당 현금배당금(원)(1)당기,35,NULL,35,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368,미코,500,500,500,21976,32320,19070,4355,5671,5594,주당 현금배당금(원)보통주(1)당기,40,40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
369,레드캡투어,500,500,500,22235,14078,8556,21519,14128,8633,주당 현금배당금(원)보통주(1)당기,1033,800,800,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,금화피에스시,500,500,500,27683,39691,20645,25283,38175,19686,주당 현금배당금(원)보통주(1)당기,1766,1300,1300,900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
371,KG ETS,500,500,500,NULL,11266,11723,97780,13593,NULL,주당 현금배당금(원)(1)당기,118,110,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
372,삼성물산,100,100,100,1050076,1712790,639798,541071,1182377,463362,주당 현금배당금(원)(1)당기,2000,2000,2000,2000,주당 현금배당금(원)(2)당기,2050,2050,2050,2050,NULL,NULL,NULL,NULL,NULL
373,한독,500,500,500,34929,7990,4868,11310,19638,16345,주당 현금배당금(원)보통주(1)당기,344,275,450,265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
374,에스원,500,500,500,146642,102971,143327,141011,101070,140945,주당 현금배당금(원)보통주(1)당기,2500,2500,2500,2500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
375,삼성카드,5000,5000,5000,344118,345250,386707,342557,343917,384935,주당 현금배당금(원)보통주(1)당기,1716,1600,1600,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,삼성생명,500,500,500,977391,1664382,1166121,833805,1797774,940689,주당 현금배당금(원)보통주식(1)당기,3408,2650,2650,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,GS홈쇼핑,5000,5000,5000,109755,133937,102719,106603,120615,97005,주당 현금배당금(원)보통주(1)당기,6666,6500,7000,6500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,KCI,500,500,500,NULL,NULL,NULL,11415,8876,3976,주당 현금배당금(원)보통주(1)당기,216,200,180,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,부국증권,5000,5000,5000,27480,29015,37399,23636,26930,32762,주당 현금배당금(원)보통주(1)당기,1200,1200,1200,1200,주당 현금배당금(원)우선주(1)당기,1250,1250,1250,1250,NULL,NULL,NULL,NULL,NULL
380,제이앤티씨,500,500,500,87693,28114,5064,-30168,285,18349,주당 현금배당금(원)보통주(1)당기,45,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,동양물산기업,500,500,500,4502,-7481,-22339,3127,-5293,-26442,주당 현금배당금(원)(1)당기,-4,NULL,10,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
382,다원시스,500,500,500,4248,6033,5399,11420,12024,10080,주당 현금배당금(원)보통주(1)당기,141,100,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,케이티스카이라이프,2500,2500,2500,56008,52010,57314,50361,50960,55181,주당 현금배당금(원)보통주(1)당기,350,350,350,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,아이엠이연이,500,500,500,6448,1149,-18341,-307,2463,-7914,주당 현금배당금(원)보통주(1)당기,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,인터지스,500,500,500,-44027,-14135,5913,-39981,-14834,4737,주당 현금배당금(원)보통주(1)당기,120,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
386,현대중공업지주,5000,5000,5000,173231,268619,933514,590858,130596,219487,주당 현금배당금(원)보통주(1)당기,18500,18500,18500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
387,한미약품,2500,2500,2500,52110,24891,60434,24257,12762,38656,주당 현금배당금(원)보통주(1)당기,500,500,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
388,동양파일,500,500,500,NULL,NULL,NULL,-15249,-6375,8245,주당 현금배당금(원)보통주(1)당기,150,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
389,우진,500,500,500,-13994,-7205,-15574,-12179,-4284,-15105,주당 현금배당금(원)보통주(1)당기,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
390,조일알미늄,500,500,500,-76711,-10415,-1833,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,15,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
391,우리넷,500,500,500,1934,1864,3432,2271,1864,3432,주당 현금배당금(원)보통주(1)당기,-49,50,100,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
392,아바코,500,500,500,19588,25523,-1817,20062,23026,NULL,주당 현금배당금(원)보통주(1)당기,499,300,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
393,동일고무벨트,500,500,500,8277,10289,1098,8229,9836,543,주당 현금배당금(원)보통주(1)당기,119,100,90,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
394,삼양옵틱스,500,500,500,13557,12470,17840,13502,12919,18075,주당 현금배당금(원)(1)당기,683,1000,1100,1300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
395,신한알파리츠,1000,1000,1000,3017,5075,-8279,5906,5787,-7451,주당 현금배당금(원)보통주(1)당기,166,140,137,116,주당 현금배당금(원)우선주(1)당기,490,411,371,NULL,주당 현금배당금(원)종류주(1)당기,463,414,411,371
396,롯데쇼핑,5000,5000,5000,-896326,-544874,-136395,-753701,-502918,369638,주당 현금배당금(원)보통주(1)당기,2633,3800,5200,5200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,파크시스템스,500,500,500,8506,5595,4545,8042,5922,4683,주당 현금배당금(원)(1)당기,159,120,100,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398,디피씨,500,500,500,10669,11274,6983,1797,4216,3637,주당 현금배당금(원)기명식보통주(1)당기,88,80,70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399,신한지주,5000,5000,5000,3403497,3156722,2918816,1129173,1234883,754727,주당 현금배당금(원)보통주(1)당기,2233,1850,1600,1450,주당 현금배당금(원)우선주(1)당기,1850,1850,NULL,NULL,NULL,NULL,NULL,NULL,NULL
400,동원F&B,5000,5000,5000,65664,56737,51368,44076,41006,32055,주당 현금배당금(원)보통주(1)당기,3583,3000,3000,2500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
401,아세아시멘트,5000,5000,5000,27881,15308,55177,14203,7359,62041,주당 현금배당금(원)보통주(1)당기,1500,1500,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
402,디와이,500,500,500,32062,22670,40877,2608,-6729,-146,주당 현금배당금(원)보통주(1)당기,184,150,150,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,인천도시가스,5000,5000,5000,10708,16124,13729,11254,16320,NULL,주당 현금배당금(원)보통주(1)당기,1250,1250,1250,1250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,무림P&P,2500,2500,2500,10104,69783,36488,4728,68346,35790,주당 현금배당금(원)보통주(1)당기,229,175,250,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
405,DMS,500,500,500,17236,15184,3858,12540,18180,7233,주당 현금배당금(원)보통주(1)당기,112,75,100,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
406,동아쏘시오홀딩스,5000,5000,5000,19764,-163977,32543,13976,-78885,22016,주당 현금배당금(원)보통주(1)당기,1000,1000,1000,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,동아에스티,5000,5000,5000,70913,8009,-5396,64970,17561,-5235,주당 현금배당금(원)보통주(1)당기,1583,1000,1000,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
408,국도화학,5000,5000,5000,35110,44994,41083,31091,32407,33844,주당 현금배당금(원)(1)당기,1500,1500,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
409,SH에너지화학,500,500,500,-2853,2306,9567,-3152,2767,8905,주당 현금배당금(원)보통주(1)당기,-36,NULL,23,43,주당 현금배당금(원)우선주(1)당기,-31,NULL,28,48,NULL,NULL,NULL,NULL,NULL
410,SV인베스트먼트,500,500,5000,7990,6149,2113,7990,6149,2113,주당 현금배당금(원)보통주(1)당기,120,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
411,동아지질,500,500,500,19043,18725,17104,18273,21419,14139,주당 현금배당금(원)(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
412,한국전자금융,500,500,500,2831,12284,16431,5635,15508,13515,주당 현금배당금(원)보통주(1)당기,110,110,110,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
413,SK머티리얼즈,500,500,500,128150,112665,101894,67156,75655,84920,주당 현금배당금(원)보통주(1)당기,4166,3850,3750,3550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
414,이엠넷,500,500,500,7185,4248,3849,6027,7160,2693,주당 현금배당금(원)보통주(1)당기,26,30,20,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
415,롯데제과,500,500,500,38062,9362,2027,11059,16815,2991,주당 현금배당금(원)보통주(1)당기,2489,1300,1300,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
416,가온전선,5000,5000,5000,5463,99,1454,5859,363,842,주당 현금배당금(원)보통주(1)당기,600,600,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
417,이구산업,500,500,500,-3360,-2631,11248,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,-19,30,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
418,우림기계,500,500,500,-667,4224,-2010,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,164,NULL,60,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
419,예스코홀딩스,5000,5000,5000,19669,-39277,22633,7990,-50129,34457,주당 현금배당금(원)보통주(1)당기,1958,1750,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
420,대림통상,1000,1000,1000,-11646,-1128,-4338,-12492,-1526,-3829,주당 현금배당금(원)보통주(1)당기,131,140,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
421,이녹스첨단소재,500,500,500,34541,30467,17297,40318,30715,17123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
422,일동홀딩스,1000,1000,1000,-39955,-3719,74,-13833,3294,643,주당 현금배당금(원)보통주(1)당기,16,100,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
423,금호산업,5000,5000,5000,11717,-471,95278,45876,67072,8178,주당 현금배당금(원)보통주(1)당기,500,500,500,500,주당 현금배당금(원)우선주(1)당기,550,550,550,550,NULL,NULL,NULL,NULL,NULL
424,한온시스템,100,100,100,318537,277639,288563,67429,17595,227206,주당 현금배당금(원)(1)당기,337,320,320,305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
425,아모레퍼시픽,500,500,500,238804,332195,394011,329297,274661,317769,주당 현금배당금(원)보통주(1)당기,733,1000,1180,1280,주당 현금배당금(원)우선주(1)당기,738,1005,1185,1285,NULL,NULL,NULL,NULL,NULL
426,프리엠스,500,500,500,541,2306,1138,660,2188,1271,주당 현금배당금(원)(1)당기,50,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
427,넷마블,100,100,100,155983,189619,309809,28067,42944,85387,주당 현금배당금(원)보통주(1)당기,360,NULL,NULL,360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
428,케이티앤지,5000,5000,5000,1036475,901650,1163750,891381,840947,974896,주당 현금배당금(원)보통주(1)당기,4733,4400,4000,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
429,남해화학,NULL,1000,1000,16041,8350,26704,NULL,NULL,26852,주당 현금배당금(원)(1)당기,33,60,50,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
430,콜마비앤에이치,500,500,500,54484,48353,45772,47960,43483,33448,주당 현금배당금(원)보통주(1)당기,338,250,200,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
431,KMH,500,500,500,15090,41823,27740,4661,4029,11563,주당 현금배당금(원)보통주(1)당기,-29,70,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
432,삼영이엔씨,500,500,500,NULL,273,3145,-9417,1310,3527,주당 현금배당금(원)보통주(1)당기,281,NULL,NULL,281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
433,엘에스일렉트릭,5000,5000,5000,103869,131555,105096,109361,119394,94808,주당 현금배당금(원)(1)당기,1316,1200,1200,1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
434,한솔홈데코,1000,1000,1000,-4558,11664,3363,-3471,2716,7499,주당 현금배당금(원)보통주(1)당기,20,NULL,20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
435,피에스케이,500,NULL,NULL,14972,NULL,NULL,11730,NULL,NULL,주당 현금배당금(원)(1)당기,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
436,씨티케이코스메틱스,500,500,500,7191,7803,15298,12107,10359,15580,주당 현금배당금(원)보통주(1)당기,243,300,200,320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
437,해성디에스,5000,5000,5000,18332,20844,23978,15780,21850,25084,주당 현금배당금(원)보통주(1)당기,391,350,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
438,조선선재,500,500,500,NULL,NULL,NULL,12811,11757,15371,주당 현금배당금(원)보통주(1)당기,1500,1500,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
439,CJ제일제당,5000,5000,5000,152546,875157,370155,-74461,926269,239234,주당 현금배당금(원)보통주(1)당기,4083,3500,3500,3000,주당 현금배당금(원)제 1종 우선주(1)당기,4133,3550,3550,3050,NULL,NULL,NULL,NULL,NULL
440,대상홀딩스,1000,1000,1000,72251,23456,25953,12137,12137,11300,주당 현금배당금(원)보통주(1)당기,220,200,190,180,주당 현금배당금(원)우선주(1)당기,230,210,200,190,NULL,NULL,NULL,NULL,NULL
441,세틀뱅크,500,500,500,NULL,NULL,NULL,12897,11995,9360,주당 현금배당금(원)보통주(1)당기,380,380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
442,제일약품,500,500,500,NULL,NULL,NULL,-10584,1889,1068,주당 현금배당금(원)보통주(1)당기,66,70,60,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
