idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
27,강남제비스코,1000,1000,1000,14623,38625,23187,562,3308,16655,주당 현금배당금(원)보통주(1)당기,458,500,550,550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,헝셩그룹,NULL,NULL,NULL,NULL,24827,32082,NULL,NULL,NULL,주당 현금배당금(원)(1)당기,30,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,코위버,500,500,500,20638,6198,6512,20297,11177,6695,주당 현금배당금(원)보통주(1)당기,299,200,150,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,하나마이크론,500,500,500,-2372,1400,6423,7428,6330,-516,주당 현금배당금(원)보통주(1)당기,30,50,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,대신증권,5000,5000,5000,93955,140725,115888,87929,114809,61412,주당 현금배당금(원)보통주(1)당기,1328,1000,620,610,주당 현금배당금(원)우선주(1)당기,1378,1050,670,660,NULL,NULL,NULL,NULL,NULL
32,DB손해보험,500,500,500,377630,532539,661145,372691,514792,622051,주당 현금배당금(원)보통주(1)당기,733,1500,2000,2300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,SK증권,500,500,500,31221,13949,18820,33142,10553,16399,주당 현금배당금(원)보통주(1)당기,10,10,10,NULL,주당 현금배당금(원)우선주(1)당기,15,15,15,NULL,NULL,NULL,NULL,NULL,NULL
34,에스디생명공학,500,500,500,-22021,8452,14141,-21897,10892,20518,주당 현금배당금(원)보통주(1)당기,150,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,시큐브,100,100,100,5146,2597,3107,5190,2618,3196,주당 현금배당금(원)보통주(1)당기,10,10,10,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,모베이스전자,500,500,500,-11727,-13586,-40419,-8422,-2390,-29772,주당 현금배당금(원)(1)당기,-9,NULL,20,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
