은행명,BIS 비율,고정이하여신비율
신한저축은행,17.37,3.23
웰컴저축은행,15.78,8.19
OK저축은행,11.95,6.44
JT저축은행,11.14,2.53
애큐온저축은행,11.65,4.75
OSB저축은행,12.7,3.33
디비저축은행,16.94,0.54
스카이저축은행,14.65,4.05
민국저축은행,30.48,10.31
푸른저축은행,29.54,8.27
키움예스저축은행,12.68,2.56
더케이저축은행,15.62,4.8
조은저축은행,14.05,3.59
SBI저축은행,13.07,2.37
바로저축은행,14.6,3.47
유진저축은행,16.11,3.16
유안타저축은행,38.82,2.75
고려저축은행,16.27,7.39
국제저축은행,20.87,8.78
DH저축은행,15.04,6.2
흥국저축은행,14.61,1.1
우리저축은행,10.01,7.11
인성저축은행,18.93,3.25
금화저축은행,16.34,4.36
인천저축은행,14.52,5.36
모아저축은행,15.29,4.45
대백저축은행,14.14,11.52
유니온저축은행,17.19,7.94
엠에스저축은행,11.08,5.4
안국저축은행,10.98,3.54
라이브저축은행,12.78,1.64
남양저축은행,22.21,4
부림저축은행,37.09,14.49
키움저축은행,13.27,3.42
삼정저축은행,20.72,1.23
평택저축은행,29.78,4.36
안양저축은행,13.57,3.56
영진저축은행,12.6,4.54
융창저축은행,11.7,6.57
세람저축은행,11.79,3.39
페퍼저축은행,13.01,5.28
상상인저축은행,14.17,10.35
한화저축은행,13.56,1.64
CK저축은행,10.15,0.39
대명상호저축은행,19.43,3.7
아주저축은행,12.87,3.52
청주저축은행,22.07,2.96
한성저축은행,27.67,6.58
상상인플러스저축은행,14.52,14.63
아산저축은행,17.44,4.43
오투저축은행,11.97,1.77
스타저축은행,47.38,5.83
대한저축은행,14.41,3.72
동양저축은행,13.48,9.21
더블저축은행,10.36,2.01
센트럴저축은행,40.05,1.09
스마트저축은행,16.21,9.46
한국투자저축은행,15.7,2.45
라온저축은행,10.77,4.79
드림저축은행,21.28,3.23
대아상호저축은행,22.13,33.74
머스트삼일저축은행,10.67,4.39
참저축은행,13.35,8.68
오성저축은행,20.87,7.41
대원저축은행,25.12,3.69
S&T저축은행,31.89,6.18
솔브레인저축은행,18.27,7.8
동원제일저축은행,11.87,0.77
조흥저축은행,14.56,13.52
진주저축은행,14.71,6.86
예가람저축은행,17.6,4.62
삼호저축은행,15.43,10.73
엔에이치저축은행,16.91,2.56
대신저축은행,14.04,3.65
IBK저축은행,14.49,4.45
BNK저축은행,16.13,1.74
KB저축은행,15.1,1.5
하나저축은행,15.22,1.97
JT친애저축은행,11.58,4.52
