,name,BS,close,buy
138,예스코홀딩스,0.8431372549019608,34850.0,2.8694404591104736
520,대림통상,0.8175182481751825,4045.0,24.721878862793574
637,동아타이어,1.0,9210.0,10.857763300760043
866,승일,1.0,7980.0,12.531328320802006
1055,신라에스지,0.746615087040619,8450.0,11.834319526627219
1130,코오롱생명과학,0.96,30800.0,3.2467532467532467
1321,케이비제18호스팩,0.9285714285714286,1995.0,50.12531328320802
1471,제로투세븐,0.8578199052132701,6730.0,14.85884101040119
1539,남화산업,0.75,10650.0,9.389671361502348
1716,디아이티,0.9479166666666666,6110.0,16.366612111292962
1856,한화에스비아이스팩,1.0,2525.0,39.603960396039604
1931,소프트센,0.7735191637630663,1910.0,52.35602094240838
2087,메디아나,0.8333333333333334,14750.0,6.779661016949152
