,name,BS
229,삼양통상,0.0
230,삼영무역,0.0
231,삼정펄프,0.1388888888888889
232,샘표식품,0.0
233,서연이화,0.0
234,성보화학,0.0
235,세아제강,-0.3739967897271268
236,센트랄모텍,0.0
237,송원산업,-0.3318777292576419
238,신성이엔지,0.0
239,신세계인터내셔날,0.0
240,신세계푸드,0.0
241,신화실업,0.0
242,씨아이테크,0.0
243,아세아시멘트,0.0
244,애경산업,0.0
245,엔에이치엔,0.0
246,유니켐,0.0
247,유화증권,0.0
248,이구산업,-0.1951219512195122
249,이월드,0.0
250,일성신약,0.0
251,제이에스코퍼레이션,0.0
252,제이준코스메틱,-0.1638418079096045
253,조비,-0.2652005174644243
254,조선선재,0.0
255,종근당바이오,0.2829912023460411
256,진양화학,0.0
257,케이탑리츠,0.0
258,코람코에너지리츠,-0.36585365853658536
259,코스모신소재,0.36814244465832535
260,코웨이,0.0
261,쿠쿠홈시스,0.2867647058823529
262,키위미디어그룹,0.0
263,태평양물산,0.0
264,테이팩스,0.0
265,텔코웨어,0.2916666666666667
266,티와이홀딩스,0.0
267,팜스코,-0.08648648648648649
268,퍼시스,0.0
269,포스코케미칼,0.0
270,풍산홀딩스,0.0
271,하이스틸,0.0
272,하이트진로,0.12354312354312355
273,한국석유공업,0.0
274,한국수출포장공업,0.0
275,한국자산신탁,0.0
276,한국주강,0.0
277,한국콜마홀딩스,0.0
278,한미사이언스,0.5007974481658692
279,한샘,0.2556732223903177
280,한솔홀딩스,-0.3166023166023166
281,한신기계공업,-0.13533834586466165
282,한화에어로스페이스,-0.2701688555347092
283,현대자동차,0.0
284,효성 ITX,0.23785594639866
285,휴니드테크놀러지스,0.0
286,CJ대한통운,0.0
287,DSR제강,-0.14540337711069418
288,GKL,0.0
289,JW중외제약,0.0
290,KPX홀딩스,0.0
291,KSS해운,0.0
292,LF,0.0
293,LG하우시스,0.0
294,LG화학,0.0
295,LIG넥스원,0.0
296,LS,-0.1390284757118928
297,NAVER,0.0
298,NICE,-0.1
299,NI스틸,-0.16216216216216214
300,SH에너지화학,0.0
301,SK증권,0.0
302,SK하이닉스,0.0
303,경인양행,-0.4690812720848057
304,경인전자,-0.21534320323014805
305,국보,0.0
306,기신정기,0.0
307,녹십자,-0.12962962962962962
308,대교,0.0
309,대동전자,0.0
310,대림비앤코,0.0
311,대양금속,0.0
312,대창,-0.21052631578947367
313,동국제강,0.0
314,동화약품,0.0
315,두산솔루스,0.0
316,두산중공업,0.0
317,디아이동일,0.16634241245136186
318,디아이씨,0.0
319,롯데관광개발,0.0
320,롯데케미칼,0.0
321,맵스리얼티1,0.0
322,무학,0.0
323,미래아이앤지,0.0
324,바다로19호,0.0
325,부산주공,0.0
326,비케이탑스,0.0
327,빅히트,0.0
328,사조씨푸드,0.0
329,삼성물산,-0.2799043062200957
330,삼성바이오로직스,0.0
331,삼성전자,0.0
332,삼성제약,0.0
333,삼원강재,0.0
334,삼익THK,0.0
335,삼일제약,0.2329803328290469
336,삼진제약,0.0
337,삼화왕관,0.0
338,서연,0.198389694041868
339,선창산업,0.0
340,성신양회,0.0
341,세기상사,0.0
342,세아특수강,0.0
343,세우글로벌,-0.10723192019950124
344,세원정공,0.0
345,세진중공업,0.0
346,세화아이엠씨,0.0
347,셀트리온,0.0
348,신라교역,0.0
349,신성통상,-0.5725359911406422
350,신세계,0.0
351,아모레퍼시픽,0.2303370786516854
352,아세아,-0.18574108818011256
353,아이에스동서,-0.29098360655737704
354,에스제이엠,0.0
355,에이리츠,0.0
356,에이엔피,-0.2740704459324261
357,엔케이,0.0
358,엔피씨,0.0
359,영원무역,-0.19796954314720813
360,영원무역홀딩스,0.0
361,우리들휴브레인,0.0
362,우신시스템,0.0
363,우진,0.0
364,우진플라임,0.0
365,유니드,0.0
366,유진증권,0.0
367,이건산업,0.0
368,이노션,-0.1906779661016949
369,이연제약,0.0
370,인스코비,0.0
371,잇츠한불,0.0
372,조광페인트,0.5096153846153846
373,조선내화,-0.16666666666666666
374,지누스,0.1760644418872267
375,진에어,0.0
376,참엔지니어링,-0.2415730337078652
377,케이씨씨글라스,0.0
378,코리아오토글라스,0.0
379,코오롱글로벌,0.0013024225058608785
380,키움증권,0.0
381,태경케미컬,0.4672
382,토니모리,0.0
383,페이퍼코리아,0.0
384,포스코,0.0
385,하나제약,0.0
386,한국쉘석유,-0.06097560975609756
387,한국화장품제조,-0.19452449567723346
388,한미글로벌,0.0
389,한솔피엔에스,0.0
390,한양증권,0.0
391,한진중공업,0.0
392,한진중공업홀딩스,0.0
393,한화,0.0
394,현대일렉트릭,0.0
395,현대제철,0.0
396,황금에스티,0.0
397,AJ네트웍스,0.0
398,AK홀딩스,0.0
399,CJ,0.0
400,CJ씨푸드,-0.2377450980392157
401,DB금융투자,0.0
402,DGB금융지주,0.0
403,E1,0.0
404,F&F,-0.2228714524207012
405,KC코트렐,0.0
406,KISCO홀딩스,-0.4069767441860465
407,LG,0.18907563025210086
408,LG디스플레이,0.1657142857142857
409,LS전선아시아,0.0
410,NH프라임리츠,-0.32
411,S&T중공업,-0.4632034632034632
412,S&T홀딩스,0.0
413,S-Oil,0.0
414,SK네트웍스,0.0
415,SK케미칼,0.4907198612315698
416,경동인베스트,-0.4140845070422535
417,계룡건설산업,0.0
418,국동,0.0
419,남양유업,-0.5233160621761658
420,노루페인트,0.0
421,대상,-0.5065359477124183
422,대성홀딩스,0.0
423,대한제강,0.0
424,대호에이엘,0.0
425,덴티움,-0.3097112860892389
426,동원F&B,0.0
427,롯데제과,0.0
428,만호제강,-0.2297734627831715
429,모나미,-0.5732924021488872
430,문배철강,-0.3088235294117647
431,미창석유공업,0.0
432,백광산업,0.0
433,벽산,0.0
434,부국철강,0.0
435,부산도시가스,0.0
436,비비안,0.11940298507462685
437,비상교육,0.0
438,사조산업,-0.1825503355704698
439,삼성공조,0.0
440,삼성생명,0.0
441,삼성전기,0.2376681614349776
442,삼양사,-0.1803812180381218
443,삼양패키징,0.0
444,삼일씨엔에스,0.0
445,삼화전기,0.0
446,샘표,0.0
447,서흥,0.0
448,세하,0.0
449,수산중공업,-0.13769363166953527
450,신세계I&C,-0.1889250814332248
451,신세계건설,0.2320987654320988
452,신영와코루,0.0
453,신영증권,0.0
454,신원,0.0
455,신풍제지,0.0
456,아주캐피탈,0.0
457,에스엘,0.0
458,에이프로젠 KIC,0.0
459,엘브이엠씨,0.0
460,엘에스일렉트릭,0.0
461,오리온,0.0
462,우리금융지주,-0.25353925353925355
463,우성사료,0.0
464,웰바이오텍,0.0
465,유니온,-0.17254273504273504
466,유안타증권,0.0
467,일진전기,0.0
468,조광피혁,0.0
469,조일알미늄,0.0
470,진흥기업,0.2894736842105263
471,카카오,0.0
472,케이씨티시,0.0
473,케이티,0.0
474,코리안리,0.0
475,코스맥스비티아이,0.35071942446043164
476,코오롱머티리얼,0.0
477,크라운제과,0.0
478,크라운해태홀딩스,0.0
479,태림포장,0.0
480,태원물산,0.2403560830860534
481,티에이치엔,0.0
482,팬오션,0.20134228187919465
483,평화산업,0.0
484,하나투어,0.0
485,하이골드12호,0.0
486,한국프랜지공업,0.0
487,한독,0.0
488,한세엠케이,0.0
489,한솔제지,0.09285714285714286
490,한솔케미칼,0.0
491,한솔테크닉스,0.0
492,한온시스템,0.19121734296831566
493,한진,0.0
494,해성디에스,0.0
495,현대리바트,0.0
496,현대백화점,0.0
497,형지엘리트,0.0
498,혜인,-0.14506927465362673
499,화성산업,0.0
500,휴비스,0.2276051188299817
501,CS홀딩스,0.0
502,DB,0.0
503,GS리테일,0.0
504,HDC,0.21388667198723066
505,JW생명과학,0.0
506,KC그린홀딩스,0.0
507,KR모터스,0.0
508,LG유플러스,0.0
509,SPC삼립,0.0
510,경농,-0.103125
511,경동도시가스,0.0
512,경방,0.0
513,고려제강,-0.3137254901960784
514,광동제약,0.0
515,광주신세계,0.0
516,국도화학,0.0
517,금비,0.0
518,금호타이어,0.0
519,대림산업,0.0
520,대림통상,0.0
521,대신증권,0.0
522,대웅,0.0
523,대원강업,0.0
524,대원전선,0.0
525,대원화성,0.0
526,대유에이텍,-0.1603128054740958
527,더블유게임즈,-0.1553398058252427
528,동부건설,0.0
529,동성제약,0.0
530,동양고속,0.0
531,동양철관,0.0
532,동원수산,0.0
533,롯데쇼핑,0.0
534,메리츠화재,0.0
535,미원에스씨,0.0
536,부광약품,0.0
537,부산산업,0.0
538,비티원,0.0
539,삼광글라스,0.0
540,삼익악기,0.0
541,삼천리,0.24484181568088034
542,서울식품공업,0.0
543,성창기업지주,0.0
544,세종공업,0.0
545,센트럴인사이트,0.0
546,시디즈,0.0
547,신도리코,0.0
548,아모레퍼시픽그룹,0.0
549,아시아나IDT,0.2750865051903114
550,아시아나항공,0.4686274509803922
551,알루코,0.0
552,에스제이엠홀딩스,0.0
553,엔에스쇼핑,0.0
554,오뚜기,0.0
555,유성기업,0.31237721021611
556,유양디앤유,0.0
557,이리츠코크렙,0.0
558,이수페타시스,0.2857142857142857
559,이아이디,-0.21587301587301588
560,인디에프,0.0
561,일동홀딩스,0.0
562,일진홀딩스,0.0
563,자이에스앤디,0.0
564,자화전자,0.0
565,전방,0.0
566,제이알글로벌리츠,0.0
567,제이콘텐트리,0.0
568,제일기획,0.0
569,지투알,0.0
570,진양폴리우레탄,0.0
571,케이씨씨,0.0
572,코스맥스,-0.2247765006385696
573,콤텍시스템,0.0
574,태경비케이,0.0
575,티웨이항공,-0.16339403374511374
576,퍼스텍,0.0
577,포스코인터내셔널,-0.5095238095238095
578,폴루스바이오팜,0.0
579,하이골드3호,0.0
580,한국ANKOR유전,0.0
581,한국내화,0.0
582,한국주철관공업,0.08023483365949119
583,한국콜마,0.0
584,한국화장품,-0.5597014925373134
585,한라,0.4986338797814208
586,한미반도체,-0.10963910461397898
587,한섬,0.0
588,한세실업,-0.2331902718168813
589,한솔홈데코,0.0
590,한올바이오파마,0.0
591,한전산업,0.0
592,한화손해보험,-0.3971631205673759
593,핸즈코퍼레이션,0.0
594,현대오토에버,-0.2490494296577947
595,화승엔터프라이즈,0.0
596,화인베스틸,0.17676767676767674
597,화천기계,0.0
598,효성첨단소재,0.0
599,후성,0.0
600,휠라홀딩스,0.0
601,휴스틸,0.007653061224489777
602,BGF,-0.1409090909090909
603,DB하이텍,0.0
604,HSD엔진,0.32608695652173914
605,KG동부제철,0.0
606,KTB투자증권,0.0
607,KTcs,-0.17472118959107807
608,LG생활건강,0.0
609,SG세계물산,0.0
610,SIMPAC,0.0
611,SKC,-0.16106014271151886
612,SK가스,0.0
613,SK디앤디,0.0
614,SK렌터카,0.0
615,STX엔진,-0.275
616,STX중공업,0.0
617,TCC스틸,0.2209059233449477
618,가온전선,0.0
619,경보제약,0.0
620,계양전기,-0.14660831509846828
621,고려산업,0.0
622,광전자,0.0
623,기아자동차,0.2821637426900585
624,까뮤이앤씨,0.0
625,넥센,-0.2064343163538874
626,넥스트사이언스,0.0
627,농심,0.0
628,다우기술,0.4181034482758621
629,대성산업,-0.4037626628075254
630,대유플러스,0.0
631,대한전선,-0.28304821150855364
632,대한제분,0.0
633,대한항공,-0.22846504982653196
634,대한화섬,0.0
635,동남합성,0.0
636,동방,0.22872340425531915
637,동아타이어,1.0
638,동양피스톤,0.0
639,동원시스템즈,0.3457943925233645
640,디와이파워,0.0
641,롯데리츠,0.0
642,메리츠금융지주,0.0
643,무림P&P,0.1784452296819788
644,미원상사,-0.4751381215469613
645,방림,0.0
646,보령제약,0.0
