,name,BS
0,DSR,0.0
1,GS글로벌,0.0
2,HDC현대산업개발,0.0
3,KG케미칼,0.0
4,LG이노텍,0.0
5,LG전자,0.0
6,LG헬로비전,0.0
7,OCI,0.0
8,S&TC,0.0
9,S&T모티브,-0.6314543404735062
10,SK이노베이션,0.0
11,STX,-0.005590496156533892
12,WISCOM,0.0
13,YG PLUS,0.0
14,갤럭시아에스엠,-0.46901408450704224
15,고려아연,0.0
16,극동유화,0.0
17,까뮤이앤씨,0.23723723723723725
18,대덕,0.0
19,대덕전자,0.9533254156769596
20,대한유화,0.0
21,동아쏘시오홀딩스,0.0
22,두산,0.0
23,두산밥캣,0.0
24,락앤락,0.2258064516129032
25,롯데정보통신,0.0
26,마니커,0.0
27,만도,0.0
28,메리츠증권,0.19112627986348124
29,모두투어리츠,0.0
30,부국증권,0.0
31,삼성SDI,0.0
32,삼성엔지니어링,0.0
33,삼성중공업,-0.4688073394495413
34,삼성출판사,0.0
35,삼성화재해상보험,0.0
36,삼양식품,0.0
37,삼양홀딩스,0.0
38,삼영전자공업,0.0
39,삼영화학공업,0.0
40,상상인증권,-0.04771784232365145
41,선도전기,0.0
42,선진,0.0
43,세방전지,0.0
44,세원셀론텍,0.0
45,신한알파리츠,0.13307984790874525
46,신한지주,0.2154255319148936
47,쌍용자동차,0.0
48,에넥스,0.0
49,영화금속,0.0
50,윌비스,0.0
51,유나이티드,-0.5861622892983144
52,인바이오젠,0.0
53,인지컨트롤스,0.24007060900264784
54,인터지스,0.0
55,일성건설,-0.6162393162393163
56,일진다이아,0.0
57,제일약품,0.0
58,제일연마,0.0
59,제일파마홀딩스,0.0
60,조흥,0.0
61,지역난방공사,0.0
62,진도,0.0
63,코오롱인더,0.0
64,키다리스튜디오,0.0
65,태경산업,0.1961259079903148
66,태양금속공업,0.0
67,포스코강판,0.0
68,필룩스,0.0
69,한국공항,-0.6088607594936709
70,한국종합기술,-0.5668918918918919
71,한국패러랠,0.0
72,한라홀딩스,0.0
73,한미약품,0.0
74,한솔로지스틱스,0.0
75,한일철강,0.0
76,한일현대시멘트,0.0
77,한창제지,0.0
78,한화생명,0.0
79,한화시스템,0.0
80,현대건설,0.0
81,현대건설기계,0.26166666666666666
82,현대모비스,-0.07094594594594594
83,현대비앤지스틸,0.251180358829084
84,현대엘리베이터,0.0
85,현대차증권,0.0
86,현대홈쇼핑,0.0
87,호전실업,0.0
88,CJ CGV,0.0
89,HDC현대EP,0.0
90,JW홀딩스,0.0
91,KB금융,0.0
92,SG충방,0.2423728813559322
93,금강공업,0.0
94,금호산업,0.0
95,금호전기,0.0
96,기업은행,0.0
97,남선알미늄,0.0
98,남성,0.1588850174216028
99,넷마블,0.0
100,대구백화점,-0.7170886075949368
101,대우건설,0.0
102,대원제약,0.0
103,대한방직,-0.8296495956873315
104,대한제당,0.0
