,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
0,HK00002,애큐온저축은행,정기적금,제한없음,,"- 인터넷뱅킹 가입 : 연 0.05%
- 폰뱅킹 가입 : 연 0.05%
- 모바일뱅킹 가입 : 연 0.10%","[['6', '단리', 1.6, 1.7, '정액적립식'], ['12', '단리', 2.2, 2.3, '정액적립식'], ['24', '단리', 2.2, 2.3, '정액적립식'], ['36', '단리', 2.3, 2.4, '정액적립식']]"
1,HK00003,애큐온저축은행,직장인우대적금,만19세이상 직장인,1000000,"- 최대 연 0.50% 우대금리 적용
- 우대금리 적용조건
① 첫거래고객 : 연0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연0.1%
③ 개인정보수집이용동의(마케팅목적) : 연0.1%
④ 인터넷뱅킹 정기적금 신규 가입 : 연0.05%
⑤ 모바일뱅킹 정기적금 신규 가입 : 연0.10%","[['12', '단리', 2.6, 3.1, '정액적립식'], ['24', '단리', 2.7, 3.2, '정액적립식'], ['36', '단리', 2.8, 3.3, '정액적립식']]"
2,31000,신한저축은행,정기적금,제한없음,,없음,"[['12', '단리', 2, 2, '정액적립식'], ['24', '단리', 2.1, 2.1, '정액적립식'], ['36', '단리', 2.2, 2.2, '정액적립식'], ['12', '단리', 1.5, 1.5, '자유적립식'], ['24', '단리', 1.5, 1.5, '자유적립식'], ['36', '단리', 1.5, 1.5, '자유적립식']]"
3,3100,디비저축은행,정기적금,제한없음,,* 최고우대금리 : 0.1% - 인터넷 가입시 : 연 0.1% - 모바일 가입시 : 연 0.1%,"[['6', '단리', 1.8, 1.9, '정액적립식'], ['12', '단리', 2.3, 2.4, '정액적립식'], ['24', '단리', 2.4, 2.5, '정액적립식'], ['36', '단리', 2.5, 2.6, '정액적립식']]"
4,3138,디비저축은행,DreamBig정기적금(10만원),제한없음,100000,"적금 가입 이후부터 적금 만기 30일 이전까지 DB손해보험 다이렉트 인터넷 자동차보험을 인터넷사이트를 통해 보험가입기간 1년으로 하여 보험료 금 삼십만원(\300,000) 이상의 신규가입 또는 갱신하여 적금만기 시까지 보험 계약 유지한 경우 *월불입금액10만원 기준금리3.1%+우대금리 3.8%=6.9%","[['12', '단리', 3.1, 6.9, '정액적립식']]"
5,3139,디비저축은행,DreamBig정기적금(20만원),제한없음,200000,"적금 가입 이후부터 적금 만기 30일 이전까지 DB손해보험 다이렉트 인터넷 자동차보험을 인터넷사이트를 통해 보험가입기간 1년으로 하여 보험료 금 삼십만원(\300,000) 이상의 신규가입 또는 갱신하여 적금만기 시까지 보험 계약 유지한 경우 *월불입금액20만원 기준금리 2.7%+우대금리 1.9%=4.6%","[['12', '단리', 2.7, 4.6, '정액적립식']]"
6,3140,디비저축은행,DreamBig정기적금(30만원),제한없음,300000,"적금 가입 이후부터 적금 만기 30일 이전까지 DB손해보험 다이렉트 인터넷 자동차보험을 인터넷사이트를 통해 보험가입기간 1년으로 하여 보험료 금 삼십만원(\300,000) 이상의 신규가입 또는 갱신하여 적금만기 시까지 보험 계약 유지한 경우 *월불입금액30만원 기준금리 2.7%+우대금리 1.2%=3.9%","[['12', '단리', 2.7, 3.9, '정액적립식']]"
7,3141,디비저축은행,DreamBig정기적금(40만원),제한없음,400000,"적금 가입 이후부터 적금 만기 30일 이전까지 DB손해보험 다이렉트 인터넷 자동차보험을 인터넷사이트를 통해 보험가입기간 1년으로 하여 보험료 금 삼십만원(\300,000) 이상의 신규가입 또는 갱신하여 적금만기 시까지 보험 계약 유지한 경우 *월불입금액40만원 기준금리 2.7%+ 우대금리 0.9%=3.6%","[['12', '단리', 2.7, 3.6, '정액적립식']]"
8,310010,솔브레인저축은행,정기적금,제한없음,,- 만기해지 시 지급이율적용 [지급이율=약정이율+우대이율 (약정이율은 가입시 기간별 정기예금이율(2년초과 기간은 2년이율적용))],"[['12', '단리', 2.1, 4.1, '정액적립식'], ['6', '단리', 2, 2, '정액적립식'], ['12', '단리', 2.4, 2.4, '정액적립식'], ['24', '단리', 2.5, 2.5, '정액적립식'], ['36', '단리', 2.6, 2.6, '정액적립식']]"
9,310011,솔브레인저축은행,"쏠쏠한정기적금 [창구,인터넷(스마트)뱅킹,비대면]","- 개인(SB톡톡플러스는 만19세이상)
- e-쏠쏠한정기적금 , 쏠쏠한정기적금(비대면) 중 중복가입불가[1인1계좌]",1000000,"- 개인
- 만기해지 시 지급이율적용 [지급이율=약정이율+우대이율 (약정이율은 가입시 기간별 정기예금이율(2년초과 기간은 2년이율적용))]","[['36', '단리', 2.3, 2.3, '정액적립식'], ['24', '단리', 2.2, 2.2, '정액적립식'], ['12', '단리', 2.1, 2.1, '정액적립식'], ['6', '단리', 1.8, 2, '정액적립식'], ['12', '단리', 2.6, 2.6, '정액적립식'], ['24', '단리', 2.7, 2.7, '정액적립식'], ['36', '단리', 2.8, 2.8, '정액적립식'], ['12', '단리', 2.6, 2.6, '정액적립식'], ['24', '단리', 2.7, 2.7, '정액적립식'], ['36', '단리', 2.8, 2.8, '정액적립식']]"
