,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
32,240010,솔브레인저축은행,정기예금(비대면),개인(만19세이상),,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9], ['6', '단리', 1.3, 1.3], ['12', '단리', 1.9, 1.9], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['6', '복리', 1.3, 1.3], ['12', '복리', 1.9, 1.9], ['24', '복리', 2, 2], ['36', '복리', 2, 2], ['6', '단리', 1, 1], ['12', '단리', 1.6, 1.6], ['24', '단리', 1.6, 1.6], ['36', '단리', 1.6, 1.6], ['6', '복리', 1, 1], ['12', '복리', 1.6, 1.6], ['24', '복리', 1.6, 1.6], ['36', '복리', 1.6, 1.6], ['6', '단리', 1.4, 1.4], ['12', '단리', 2, 2], ['24', '단리', 2.05, 2.05], ['6', '복리', 1.4, 1.4], ['12', '복리', 2, 2], ['24', '복리', 2.05, 2.05]]"
33,240015,스타저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
34,240016,동원제일저축은행,회전정기예금(변동금리),제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.2, 2.2], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.2, 2.2], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
35,240017,예가람저축은행,안심Plus 정기예금,제한없음,,"- 13개월 이상 ~ 24개월 미만 중도해지시 가입당시 1년 정기예금 금리 적용
- 24개월 이상 ~ 36개월 미만 중도해지시 가입당시 2년 정기예금 금리 적용","[['6', '단리', 1.1, 1.1], ['12', '단리', 1.8, 1.8], ['24', '단리', 1.8, 1.8], ['36', '단리', 1.8, 1.8], ['6', '복리', 1.1, 1.1], ['12', '복리', 1.8, 1.8], ['24', '복리', 1.8, 1.8], ['36', '복리', 1.8, 1.8], ['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9], ['36', '단리', 2.05, 2.05], ['36', '복리', 2.05, 2.05]]"
36,240019,예가람저축은행,e-안심Plus 정기예금,제한없음,,"- 13개월 이상 ~ 24개월 미만 중도해지시 가입당시 1년 정기예금 금리 적용
- 24개월 이상 ~ 36개월 미만 중도해지시 가입당시 2년 정기예금 금리 적용","[['12', '단리', 1.7, 1.7], ['24', '단리', 1.7, 1.7], ['36', '단리', 1.7, 1.7], ['12', '복리', 1.7, 1.7], ['24', '복리', 1.7, 1.7], ['36', '복리', 1.7, 1.7], ['36', '단리', 2.15, 2.15], ['36', '복리', 2.15, 2.15]]"
37,A1,유진저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.2, 1.2], ['12', '단리', 1.6, 1.6], ['24', '단리', 1.6, 1.6], ['6', '복리', 1.2, 1.2], ['12', '복리', 1.6, 1.6], ['24', '복리', 1.6, 1.6]]"
38,A3,유진저축은행,e정기예금,제한없음,,없음,"[['6', '단리', 1.2, 1.2], ['12', '단리', 1.65, 1.65], ['24', '단리', 1.65, 1.65], ['6', '복리', 1.2, 1.2], ['12', '복리', 1.65, 1.65], ['24', '복리', 1.65, 1.65]]"
39,24,센트럴저축은행,정기예금,제한없음.,,없음.,"[['6', '단리', 1.4, 1.4], ['12', '단리', 2, 2], ['6', '복리', 1.4, 1.4], ['12', '복리', 2, 2]]"
40,24-1,유안타저축은행,e-정기예금,제한없음,,없음,"[['6', '단리', 1.25, 1.25], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.25, 1.25], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
41,24-2,유안타저축은행,회전정기예금 (변동금리),제한없음,,"- 가입시 정기예금 12개월 금리+0.05%p 
- 1년마다 정기예금 12개월금리+0.05%로 갱신(변동금리) 
- 매 회전주기(1년,2년)까지는 중도해지시에도 약정금리를 제공","[['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
42,24-3,유안타저축은행,SB톡톡 정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.25, 1.25], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.25, 1.25], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
43,240036,한국투자저축은행,e-PLAN 인터넷정기예금,제한없음,999999999,없음,"[['6', '단리', 1.6, 1.6], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['6', '복리', 1.6, 1.6], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
44,240038,고려저축은행,정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 2, 2], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 2, 2], ['36', '복리', 2.1, 2.1]]"
45,240044,고려저축은행,회전정기예금(비대면),제한없음,,없음,"[['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
46,KJ0001A,국제저축은행,꿈 찾아 정기예금,제한없음,,없음,"[['6', '단리', 1, 1], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1, 1], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
47,KJ0002A,국제저축은행,E-꿈 찾아 정기예금,제한없음,50000000,없음,"[['6', '단리', 1, 1], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1, 1], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
