,Date,High,Low,Open,Close,Volume
0,2020-07-29,2010.0,1995.0,2010.0,2000.0,423111.0
1,2020-07-30,2010.0,2000.0,2000.0,2000.0,16607.0
2,2020-07-31,2005.0,1995.0,1995.0,2000.0,5924.0
3,2020-08-03,2000.0,1995.0,2000.0,2000.0,1567.0
4,2020-08-04,2000.0,1995.0,2000.0,1995.0,4318.0
5,2020-08-05,2000.0,1985.0,1995.0,2000.0,47262.0
6,2020-08-06,2000.0,1990.0,1990.0,2000.0,300.0
7,2020-08-07,2000.0,1995.0,1995.0,1995.0,1494.0
8,2020-08-10,2000.0,1990.0,2000.0,2000.0,36354.0
9,2020-08-11,2000.0,1990.0,2000.0,2000.0,10655.0
10,2020-08-12,2000.0,1990.0,1990.0,1990.0,10806.0
11,2020-08-13,2000.0,1980.0,1990.0,1995.0,113443.0
12,2020-08-14,2005.0,1995.0,2005.0,1995.0,352.0
13,2020-08-18,2000.0,1990.0,2000.0,1995.0,8296.0
14,2020-08-19,2000.0,1985.0,1990.0,1995.0,10780.0
15,2020-08-20,1995.0,1980.0,1980.0,1995.0,104.0
16,2020-08-21,2000.0,2000.0,2000.0,2000.0,12.0
17,2020-08-24,2000.0,1995.0,1995.0,2000.0,297.0
18,2020-08-25,2000.0,1990.0,1990.0,1990.0,984.0
19,2020-08-26,1995.0,1990.0,1990.0,1995.0,2284.0
20,2020-08-27,2000.0,1995.0,1995.0,2000.0,61.0
21,2020-08-28,2000.0,1985.0,1985.0,2000.0,3.0
22,2020-08-31,2000.0,1985.0,2000.0,2000.0,40040.0
23,2020-09-01,2000.0,1975.0,1975.0,2000.0,71.0
24,2020-09-02,2000.0,2000.0,2000.0,2000.0,0.0
25,2020-09-03,2000.0,2000.0,2000.0,2000.0,10.0
26,2020-09-04,2000.0,1990.0,1990.0,2000.0,17.0
27,2020-09-07,2000.0,1995.0,1995.0,2000.0,250.0
28,2020-09-08,2000.0,1995.0,2000.0,1995.0,12734.0
29,2020-09-09,1990.0,1980.0,1980.0,1990.0,30.0
30,2020-09-10,2000.0,1995.0,2000.0,1995.0,505.0
31,2020-09-11,2000.0,1995.0,2000.0,1995.0,210.0
32,2020-09-14,2000.0,1995.0,1995.0,2000.0,7844.0
33,2020-09-15,2000.0,2000.0,2000.0,2000.0,0.0
34,2020-09-16,2000.0,1995.0,2000.0,2000.0,4024.0
35,2020-09-17,2000.0,1995.0,2000.0,2000.0,574.0
36,2020-09-18,2000.0,2000.0,2000.0,2000.0,0.0
37,2020-09-21,2000.0,1995.0,2000.0,2000.0,81.0
38,2020-09-22,2000.0,1995.0,1995.0,2000.0,11.0
39,2020-09-23,2000.0,1995.0,1995.0,2000.0,1302.0
40,2020-09-24,2000.0,1995.0,2000.0,2000.0,12001.0
41,2020-09-25,2000.0,1995.0,2000.0,2000.0,20370.0
42,2020-09-28,2000.0,2000.0,2000.0,2000.0,0.0
43,2020-09-29,2000.0,2000.0,2000.0,2000.0,500.0
44,2020-10-05,2000.0,1990.0,1990.0,2000.0,10001.0
45,2020-10-06,2000.0,1985.0,1990.0,2000.0,4502.0
46,2020-10-07,2000.0,1980.0,1985.0,1995.0,44017.0
47,2020-10-08,2000.0,1990.0,2000.0,1995.0,57.0
48,2020-10-12,2000.0,1985.0,1990.0,2000.0,1011.0
49,2020-10-13,1995.0,1995.0,1995.0,1995.0,0.0
50,2020-10-14,2000.0,1985.0,2000.0,1995.0,30592.0
51,2020-10-15,2000.0,1990.0,1995.0,1995.0,38278.0
52,2020-10-16,2000.0,1990.0,1995.0,2000.0,19536.0
53,2020-10-19,2010.0,2000.0,2010.0,2000.0,6.0
54,2020-10-20,2010.0,1995.0,1995.0,2005.0,24314.0
55,2020-10-21,2005.0,1995.0,1995.0,2000.0,60.0
56,2020-10-22,2000.0,1995.0,1995.0,2000.0,5.0
57,2020-10-23,2005.0,1995.0,2005.0,2000.0,1017.0
58,2020-10-26,2000.0,2000.0,2000.0,2000.0,515.0
59,2020-10-27,2010.0,2010.0,2010.0,2010.0,5.0
60,2020-10-28,2005.0,1995.0,2000.0,2000.0,8756.0
61,2020-10-29,2010.0,2010.0,2010.0,2010.0,5.0
62,2020-10-30,2005.0,1995.0,1995.0,2005.0,6.0
63,2020-11-02,2005.0,2005.0,2005.0,2005.0,0.0
64,2020-11-03,2000.0,2000.0,2000.0,2000.0,1.0
65,2020-11-04,2005.0,1990.0,1990.0,1995.0,13591.0
66,2020-11-05,2005.0,1995.0,1995.0,2005.0,8506.0
67,2020-11-06,2005.0,2000.0,2005.0,2000.0,17200.0
68,2020-11-09,2010.0,1995.0,1995.0,2010.0,5657.0
69,2020-11-10,2010.0,1995.0,1995.0,2010.0,6.0
70,2020-11-11,2010.0,2010.0,2010.0,2010.0,0.0
