,index,High,Low,Open,Close,Volume
0,2020-04-22,3680.0,3540.0,3680.0,3655.0,45098.0
1,2020-04-23,3890.0,3700.0,3750.0,3800.0,153240.0
2,2020-04-24,3895.0,3700.0,3750.0,3760.0,75971.0
3,2020-04-27,3845.0,3730.0,3770.0,3820.0,51694.0
4,2020-04-28,3880.0,3740.0,3820.0,3840.0,87179.0
5,2020-04-29,3840.0,3720.0,3840.0,3800.0,32643.0
6,2020-05-04,3800.0,3700.0,3760.0,3800.0,38088.0
7,2020-05-06,3970.0,3785.0,3835.0,3960.0,111910.0
8,2020-05-07,4710.0,4060.0,4100.0,4540.0,3233650.0
9,2020-05-08,4575.0,4370.0,4570.0,4465.0,412463.0
10,2020-05-11,4470.0,4295.0,4470.0,4360.0,158752.0
11,2020-05-12,4430.0,4300.0,4410.0,4385.0,118361.0
12,2020-05-13,4285.0,4170.0,4285.0,4215.0,207996.0
13,2020-05-14,4320.0,4160.0,4195.0,4160.0,123457.0
14,2020-05-15,4260.0,4075.0,4260.0,4215.0,113081.0
15,2020-05-18,4500.0,4080.0,4230.0,4465.0,537814.0
16,2020-05-19,5800.0,4975.0,5000.0,5800.0,7603956.0
17,2020-05-20,6300.0,5410.0,6100.0,5530.0,5891555.0
18,2020-05-21,5590.0,5220.0,5470.0,5250.0,1038341.0
19,2020-05-22,6240.0,4965.0,5340.0,5000.0,11069490.0
20,2020-05-25,5110.0,4940.0,5070.0,5100.0,961377.0
21,2020-05-26,6040.0,5230.0,5890.0,5300.0,4144191.0
22,2020-05-27,5340.0,5140.0,5280.0,5230.0,521691.0
23,2020-05-28,5290.0,4900.0,5240.0,4965.0,456209.0
24,2020-05-29,5010.0,4750.0,5000.0,4890.0,213433.0
25,2020-06-01,5050.0,4885.0,4890.0,4990.0,289725.0
26,2020-06-02,5270.0,4885.0,5010.0,5080.0,921252.0
27,2020-06-03,5120.0,4955.0,5080.0,4990.0,205889.0
28,2020-06-04,5020.0,4900.0,4990.0,4920.0,139009.0
29,2020-06-05,4980.0,4825.0,4920.0,4980.0,172488.0
30,2020-06-08,5090.0,4960.0,5090.0,4970.0,149304.0
31,2020-06-09,5550.0,4910.0,5050.0,5310.0,3015910.0
32,2020-06-10,5680.0,5100.0,5460.0,5190.0,1334014.0
33,2020-06-11,5290.0,4930.0,5160.0,5000.0,294278.0
34,2020-06-12,5450.0,4570.0,4615.0,5050.0,2253249.0
35,2020-06-15,5100.0,4585.0,5090.0,4585.0,311130.0
36,2020-06-16,4850.0,4685.0,4700.0,4745.0,154257.0
37,2020-06-17,4785.0,4475.0,4715.0,4645.0,126650.0
38,2020-06-18,4935.0,4550.0,4650.0,4825.0,294693.0
39,2020-06-19,5020.0,4600.0,4835.0,4775.0,219557.0
40,2020-06-22,4865.0,4685.0,4800.0,4760.0,68758.0
41,2020-06-23,4880.0,4710.0,4740.0,4710.0,87786.0
42,2020-06-24,4990.0,4695.0,4710.0,4755.0,120239.0
43,2020-06-25,4835.0,4620.0,4730.0,4785.0,52591.0
44,2020-06-26,4840.0,4665.0,4800.0,4710.0,40937.0
45,2020-06-29,4735.0,4565.0,4600.0,4575.0,44321.0
46,2020-06-30,4640.0,4520.0,4625.0,4595.0,49606.0
47,2020-07-01,4700.0,4550.0,4595.0,4550.0,47329.0
48,2020-07-02,4700.0,4575.0,4630.0,4600.0,41717.0
49,2020-07-03,4775.0,4620.0,4620.0,4775.0,57467.0
50,2020-07-06,4810.0,4730.0,4800.0,4765.0,41550.0
51,2020-07-07,4840.0,4725.0,4830.0,4840.0,70270.0
52,2020-07-08,4915.0,4820.0,4860.0,4855.0,97662.0
53,2020-07-09,5070.0,4880.0,4930.0,5070.0,168400.0
54,2020-07-10,5120.0,4880.0,5100.0,4955.0,96674.0
55,2020-07-13,5110.0,4955.0,4955.0,4995.0,151881.0
56,2020-07-14,5040.0,4855.0,4975.0,4935.0,79116.0
57,2020-07-15,4995.0,4880.0,4940.0,4930.0,76725.0
58,2020-07-16,4970.0,4850.0,4950.0,4850.0,44923.0
59,2020-07-17,4955.0,4830.0,4950.0,4860.0,52137.0
60,2020-07-20,5010.0,4830.0,4865.0,4975.0,84493.0
61,2020-07-21,5110.0,4910.0,5020.0,4965.0,74066.0
62,2020-07-22,4970.0,4865.0,4950.0,4915.0,39473.0
63,2020-07-23,4940.0,4810.0,4915.0,4850.0,43442.0
64,2020-07-24,4850.0,4605.0,4845.0,4655.0,111719.0
65,2020-07-27,4870.0,4630.0,4660.0,4830.0,46643.0
66,2020-07-28,4890.0,4680.0,4870.0,4725.0,49044.0
67,2020-07-29,4790.0,4650.0,4655.0,4690.0,34897.0
68,2020-07-30,4725.0,4605.0,4725.0,4670.0,41981.0
69,2020-07-31,4700.0,4610.0,4700.0,4610.0,40508.0
70,2020-08-03,4685.0,4520.0,4655.0,4650.0,45691.0
71,2020-08-04,4795.0,4640.0,4795.0,4680.0,49637.0
72,2020-08-05,4710.0,4590.0,4710.0,4600.0,54793.0
73,2020-08-06,4725.0,4580.0,4600.0,4645.0,60421.0
74,2020-08-07,4710.0,4585.0,4710.0,4595.0,46433.0
75,2020-08-10,4625.0,4515.0,4595.0,4540.0,65854.0
76,2020-08-11,4575.0,4535.0,4540.0,4545.0,25328.0
77,2020-08-12,4575.0,4415.0,4545.0,4465.0,47110.0
78,2020-08-13,4515.0,4440.0,4450.0,4450.0,33777.0
79,2020-08-14,4500.0,4350.0,4500.0,4395.0,42286.0
80,2020-08-18,4385.0,4030.0,4350.0,4030.0,79390.0
81,2020-08-19,4235.0,4060.0,4060.0,4170.0,25491.0
82,2020-08-20,4280.0,3895.0,4170.0,4020.0,73261.0
83,2020-08-21,4210.0,3910.0,4020.0,4050.0,34376.0
84,2020-08-24,4160.0,3930.0,3975.0,4100.0,32027.0
85,2020-08-25,4340.0,4080.0,4080.0,4305.0,54447.0
86,2020-08-26,4355.0,4200.0,4335.0,4295.0,49820.0
87,2020-08-27,4340.0,4150.0,4295.0,4215.0,42604.0
88,2020-08-28,4255.0,4105.0,4215.0,4200.0,24415.0
89,2020-08-31,4620.0,4250.0,4300.0,4375.0,272958.0
90,2020-09-01,4465.0,4210.0,4420.0,4325.0,68321.0
91,2020-09-02,4475.0,4305.0,4475.0,4405.0,47942.0
92,2020-09-03,4460.0,4395.0,4445.0,4420.0,28663.0
93,2020-09-04,4505.0,4265.0,4300.0,4485.0,49708.0
94,2020-09-07,4545.0,4400.0,4485.0,4440.0,80025.0
95,2020-09-08,4855.0,4440.0,4465.0,4615.0,481081.0
96,2020-09-09,4665.0,4400.0,4600.0,4555.0,125091.0
97,2020-09-10,4710.0,4555.0,4710.0,4605.0,57552.0
98,2020-09-11,4680.0,4540.0,4605.0,4580.0,53819.0
99,2020-09-14,4660.0,4530.0,4600.0,4630.0,47179.0
100,2020-09-15,4680.0,4540.0,4680.0,4585.0,36797.0
101,2020-09-16,4695.0,4560.0,4630.0,4645.0,59594.0
102,2020-09-17,4800.0,4600.0,4660.0,4625.0,221705.0
103,2020-09-18,4755.0,4485.0,4630.0,4560.0,76002.0
104,2020-09-21,4765.0,4470.0,4600.0,4555.0,126750.0
105,2020-09-22,4555.0,4325.0,4555.0,4425.0,88890.0
106,2020-09-23,4460.0,4180.0,4425.0,4360.0,34756.0
107,2020-09-24,4290.0,4115.0,4115.0,4125.0,53885.0
108,2020-09-25,4300.0,4100.0,4135.0,4200.0,39154.0
109,2020-09-28,4500.0,4225.0,4225.0,4440.0,54172.0
110,2020-09-29,4630.0,4435.0,4505.0,4530.0,46394.0
111,2020-10-05,4665.0,4545.0,4555.0,4575.0,38245.0
112,2020-10-06,5840.0,4530.0,4590.0,4930.0,2611625.0
113,2020-10-07,5600.0,4890.0,4930.0,5230.0,3128885.0
114,2020-10-08,5200.0,5020.0,5170.0,5020.0,403390.0
115,2020-10-12,5960.0,5020.0,5060.0,5700.0,6474980.0
116,2020-10-13,6800.0,5400.0,5640.0,5860.0,4636455.0
117,2020-10-14,6100.0,5350.0,5750.0,5400.0,1264422.0
118,2020-10-15,5620.0,4975.0,5500.0,5040.0,651088.0
119,2020-10-16,5430.0,4940.0,5070.0,5090.0,956683.0
120,2020-10-19,5290.0,5010.0,5050.0,5120.0,292565.0
121,2020-10-20,5140.0,4880.0,5130.0,4925.0,253654.0
122,2020-10-21,5430.0,4920.0,4975.0,4995.0,1061450.0
123,2020-10-22,5550.0,5050.0,5080.0,5200.0,1443148.0
124,2020-10-23,6450.0,5470.0,5700.0,6200.0,13428460.0
125,2020-10-26,7450.0,5980.0,6030.0,6200.0,12676626.0
126,2020-10-27,6650.0,5830.0,6290.0,6340.0,5302549.0
